 ;DAFTAR ITEM;;;;;;
;APOTEK ALAM MEDIKA;;;;;;
;;;;;;;
;JL. Raya Bintara Jaya, Bekasi;;;;;;
;021-8647282;;;;;;
;-;;;;;;
 ;;;;;;;
Kode Item;Nama Item;Jenis;Rak;Stok;Satuan;Harga Jual;
 ;;;;;;;
 ;;;;;;;
6;ABBOCATH 20;ALKES;;0;PCS;37.125;
7;ABBOCATH 22;ALKES;;0;PCS;37.125;
8;ABBOCATH 24;ALKES;;0;PCS;37.125;
9;ABBOCATH 26;ALKES;;0;PCS;37.125;
1785;TEH BUBUK;MINUMAN;;0;BGKS;0;
2;ACTAPIN 5 MG TAB;OBAT KERAS;5;0;TABLET;2.500;
20;ACARBOSE 100MG;OBAT KERAS;5.13;25;TAB;2.500;
22;ACE MAX SYR;OBAT BEBAS;6;1;BTL;219.000;
3;GAMMEX STERIL UK 7,5;ALKES;;2;PCS;15.000;
30;ACNE FELDIN LOTION 110ML;OBAT BEBAS;;2;BTL;53.486;
32;ACNOL LOTION 10ML;OBAT BEBAS;8.4;4;TUB;14.500;
38;ACTIFED MERAH DM SIR 60ML;OBAT BEBAS;1.4;7;BTL;65.000;
40;ACTIFED HIJAU EXPECT SIR 60ML;OBAT BEBAS;1.4;6;BTL;65.000;
42;ACTIFED ORANGE SIR 60ML;OBAT BEBAS;1.4;2;BTL;65.000;
457;CARDISMO;OBAT KERAS;;100;TAB;3.542;
5;OTSU NS 100ML (NACL);OBAT KERAS;;7;BTL;21.000;
54;ACYCLOVIR CR 5% 5G;OBAT KERAS;5;54;TUBE;6.000;
55;ACYCLOVIR TAB 200MG @50;OBAT KERAS;5;239;TAB;800;
56;ACYCLOVIR TAB 400MG @50;OBAT KERAS;5;310;TAB;950;
59;ADALAT OROS TAB 30MG;OBAT KERAS;5;39;TAB;11.000;
6;ECOSOL RL 500ML;OBAT KERAS;;0;BTL;19.000;
62;ADEM SARI PANAS DALAM;OBAT BEBAS;6;2;BOX;13.000;
67;AFRIN NASAL DROP 10ML;OBAT KERAS;;0;BTL;76.000;
7;OSTEOCAL TAB;OBAT BEBAS;;0;STRIP;8.000;
74;AKURAT TEST PACK;OBAT BEBAS;7;25;PCS;12.500;
76;ALBOTHYL 10ML;OBAT BEBAS;;9;BTL;50.000;
8;BIO SENTRA WC;ALKES;;1;BOX;24.000;
80;ALCO DROPS 15ML;OBAT KERAS;;8;BTL;97.500;
81;ALCO PLUS DMP SIR 100ML;OBAT KERAS;;7;BTL;71.394;
82;ALCO PLUS SIR 100ML;OBAT KERAS;;1;BTL;68.011;
823;MILO 100G;MINUMAN;;0;BGKS;73.200;
87;ALKOHOL 70% 100ML;OBAT BEBAS;1.2;241;BTL;10.000;
88;ALKOHOL 70% 285ML;OBAT BEBAS;1.2;73;BTL;20.000;
92;ALKOHOL SWAB BD STRIP;OBAT BEBAS;7;384;STRIP;0;
94;ALLERIN EXP SYR 120ML;OBAT KERAS;;3;BTL;26.000;
95;ALLERIN EXP SYR 60ML;OBAT KERAS;;2;BTL;14.500;
96;ALLOPURINOL 100MG;OBAT KERAS;5.13;1.030;TAB;400;
97;ALLOPURINOL 300MG;OBAT KERAS;5.13;1.210;TAB;700;
102;ALPARA TAB;OBAT KERAS;3.4;0;STRIP;11.000;
104;ALPRAZOLAM TAB 0.5MG GDEX;OBAT KERAS;;60;TAB;839;
105;ALPRAZOLAM TAB 1MG GDEX;OBAT KERAS;;0;TAB;1.293;
110;AMARYL M 1/250MG TAB;OBAT KERAS;5;30;TAB;4.400;
111;AMARYL M 2/500MG TAB;OBAT KERAS;5;20;TAB;7.800;
112;AMARYL TAB 1MG SLOWMOVING;OBAT KERAS;5;0;TAB;4.200;
113;AMARYL TAB 2MG;OBAT KERAS;;50;TAB;8.192;
116;AMBEVEN @10;OBAT BEBAS;6;24;STRIP;19.000;
117;AMBROXOL SYR 30 MG DEWASA;OBAT KERAS;8;0;BTL;14.000;
118;AMBROXOL TAB 30MG;OBAT KERAS;5.13;1.144;TAB;350;
1234;MIKA;JASA;;0;BGKS;0;
12458;NOURISH ACNE PLAST GIRL 0,37 MM;OBAT BEBAS;;5;PCS;19.500;
1247;VCO AZMI 130ML;OBAT BEBAS;;0;BTL;50.000;
125;AMINORAL KAPL @100;OBAT KERAS;5;0;AMP;7.500;
127;LOPAMID TABLET;OBAT KERAS;;200;TAB;350;
128;BERNO AMLODIPINE TAB 10MG;OBAT KERAS;5.13;330;TAB;2.540;
129;AMLODIPINE TAB 5MG DEXA;OBAT KERAS;5.13;3.020;TAB;800;
132;RENADINAC 25 MG;OBAT KERAS;;110;TAB;450;
133;BERNO AMOXICILLIN 500MG GENERIK;OBAT KERAS;5;3.991;TAB;1.000;
134;AMOXICILLIN SIR 125MG/5ML 60ML;OBAT KERAS;;9;BTL;9.000;
135;STIMUNO ORANGE BERRY 60ML;OBAT BEBAS;;0;BTL;27.500;
137;AMOXSAN 500MG @100;OBAT KERAS;5;85;TAB;4.900;
138;AMOXSAN DROP;OBAT KERAS;8;6;BTL;31.000;
139;AMOXSAN DRY SYR 125 MG;OBAT KERAS;8;4;BTL;32.000;
140;AMOXSAN DS FORTE;OBAT KERAS;;3;BTL;44.000;
142;AMPICILLIN 500MG @100;OBAT KERAS;5;240;TAB;526;
149;ANAKONIDIN PINK OBH 60ML;OBAT BEBAS;1.5;12;BTL;15.500;
152;ANAKONIDIN MERAH SYR 60ML;OBAT BEBAS;1.5;7;BTL;15.000;
157;CAVIPLEX;OBAT KERAS;7;10;STRIP;6.867;
159;ANDALAN (MERAH) LAKTASI;OBAT KERAS;7;23;STR;14.000;
160;ANDALAN (BIRU) PIL KB @2 STRIP;OBAT KERAS;7;23;BOX;16.000;
164;CURVIT TAB;OBAT KERAS;;150;TAB;2.500;
167;METAMIZOLE SODIUM (ANTALGIN) TAB 500MG;OBAT KERAS;5.13;495;TAB;275;
168;ANTANGIN CAIR;OBAT BEBAS;7;114;UNIT;3.000;
170;ANTANGIN JUNIOR SACH 10 ML;OBAT BEBAS;7;10;UNIT;2.289;
171;ANTANGIN TAB @4;OBAT BEBAS;7;26;STRIP;3.173;
173;ANTASIDA DOEN SYR;OBAT BEBAS;;23;BTL;12.300;
174;ANTASIDA DOEN TAB 400MG;OBAT BEBAS;5.13;90;TAB;250;
175;ANTIMO ANAK JERUK 5ML @10;OBAT BEBAS;6;17;UNIT;2.000;
176;ANTIMO TAB @720;OBAT BEBAS;3.4;8;STRIP;5.000;
178;APIALYS DROPS 10ML;OBAT BEBAS;1.5;3;BTL;54.000;
179;APIALYS SIR 100ML;OBAT BEBAS;1.5;4;BTL;47.000;
182;APOLAR KRIM 0.5MG/G 10G;OBAT KERAS;5;2;TUBE;45.960;
183;APOLAR N KRIM 10G;OBAT KERAS;5;2;TUBE;50.929;
184;APPETON TAURIN 60 ML;OBAT BEBAS;;0;BTL;117.000;
185;APPETON WEIGHT GAIN 900G COKLAT/VANILA;OBAT BEBAS;;0;KALENG;694.558;
186;APPETON WEIGHT GAIN ADULT 450 GR COKLAT;OBAT BEBAS;;0;KALENG;420.000;
187;APPETON WITH LISYNE SYR 60ML;OBAT BEBAS;;0;BTL;117.000;
193;APTOR;OBAT KERAS;5;0;TAB;413;
203;ARCOXIA TAB 120MG @30;OBAT KERAS;5;0;TAB;22.500;
204;ARCOXIA TAB 60MG @30;OBAT KERAS;5;0;TAB;19.771;
205;ARCOXIA TAB 90MG @30;OBAT KERAS;;0;TAB;21.000;
206;ARDIUM TAB 500MG;OBAT KERAS;5;64;TAB;11.000;
213;ARM SLING UK. L;ALKES;1.2;1;KTK;30.500;
214;ARM SLING UK. M;ALKES;1.2;1;KTK;30.500;
21456;V-BLOC 6,25MG;OBAT KERAS;;30;TAB;3.100;
215;ARM SLING UK. S;ALKES;1.2;2;KTK;30.500;
21524;HERBATIA SARI LANGSING;OBAT BEBAS;;2;BOX;63.360;
215245;IMBOOST EXTRA STRENGTH FORCE KAPL;OBAT BEBAS;;0;TAB;10.000;
2154;HANSAPLAST (PUTIH)TRANSPARAN AMPLOP 10'S;ALKES;;8;PCS;8.500;
21547;V-BLOC 25MG;OBAT KERAS;;30;TAB;8.500;
216;ARM SLING UK. XL;ALKES;;2;PCS;30.500;
216465;MKP CAP LANG AROMATERAPHY 120ML;ALKES;;0;BTL;49.000;
221;ASAM MEFENAMAT 500MG;OBAT KERAS;5.13;1.160;TAB;520;
222;ASAM MEFENAMAT 50MG/5ML;OBAT KERAS;;0;BTL;14.000;
223;ASAM TRANEKSAMAT 500MG @100;OBAT KERAS;5.13;130;TAB;2.500;
224;PULMICORT 0,25 MG / 2 ML;OBAT KERAS;;4;AMP;17.500;
225;ENTRASOL ACTIVE VANILLA 160GR;MINUMAN;;0;BOX;36.153;
226;ASCARDIA TAB 80MG;OBAT KERAS;5;130;TAB;1.600;
228;ASIFIT KAPL @30;OBAT BEBAS;;2;BTL;81.000;
233;ASPILET CHEW @100;OBAT KERAS;5;190;TAB;800;
241;ASTHIN FORCE 6MG @18;OBAT BEBAS;;0;STRIP;75.000;
242;ASTHIN FORCE SYR;OBAT BEBAS;;0;BTL;55.000;
243;ATORVASTATIN 10MG;OBAT KERAS;5;130;TAB;3.700;
244;ATORVASTATIN 20MG;OBAT KERAS;5;58;TAB;6.500;
245;NUTRAFOR CHOL;OBAT BEBAS;;0;STRIP;25.000;
246;AVAIL BIRU;OBAT BEBAS;7;7;PCS;33.500;
247;AVAIL HIJAU;OBAT BEBAS;7;9;PCS;33.500;
248;AVAIL MERAH;OBAT BEBAS;7;4;PCS;42.952;
252;AZITHROMYCIN 500MG;ANTIBOITIK;5;60;TAB;12.500;
254;DIAPET KAPS @10 TAB;OBAT BEBAS;;0;STRIP;6.000;
255;BABY COUGHT SYR 60ML;OBAT BEBAS;1.5;80;BTL;6.500;
256;BACTODERM KRIM 20MG/G 5G;OBAT KERAS;5;2;TUBE;56.500;
257;BACTODERM KRIM 2% 10G;OBAT KERAS;5;2;TUBE;85.500;
265;BALPIRIK HIJAU 20GR;OBAT BEBAS;3.5;0;BTL;9.500;
268;BALPIRIK KUNING 20GR;OBAT BEBAS;3.5;0;BTL;9.500;
270;BALPIRIK MERAH 20GR;OBAT BEBAS;3.5;3;BTL;10.500;
272;BALSEM LANG 10GR;OBAT BEBAS;3.5;6;BTL;5.996;
273;BALSEM LANG 20GR;OBAT BEBAS;3.5;4;BTL;10.500;
274;BALSEM LANG 40GR;OBAT BEBAS;3.5;5;BTL;19.192;
275;BALSEM OTOT GELIGA 10GR;OBAT BEBAS;3.5;1;BTL;6.049;
276;BALSEM OTOT GELIGA 20GR;OBAT BEBAS;3.5;2;BTL;11.543;
278;BALSEM OTOT GELIGA 40GR;OBAT BEBAS;3.5;7;BTL;20.455;
279;BALSEM TIGER ALL VARIANT;OBAT BEBAS;3.5;2;TUB;26.235;
280;BALSEM TJING TJAU 20 GR;OBAT BEBAS;3.5;4;AMP;16.647;
281;BALSEM TJING TJAU 36G (BESAR );OBAT BEBAS;3.5;7;FLS;21.000;
282;BALSEM TRESNO JOYO 20 G;OBAT BEBAS;2.6;6;TUBE;8.500;
283;BALSEM TRESNO JOYO 40GR;OBAT BEBAS;2.6;4;TUBE;16.000;
289;BAQUINOR FORTE KAPL 500MG;OBAT KERAS;5;15;TAB;19.000;
294;BATUGIN ELIKSIR 300ML;OBAT BEBAS;1.3;2;BTL;47.500;
295;BATUGIN ELIXIR 120ML;OBAT BEBAS;1.3;3;BTL;31.500;
296;BAYCUTEN-N KRIM 5G;OBAT KERAS;5;2;TUBE;76.307;
307;BECOM-C KAPL;OBAT BEBAS;5;10;TAB;2.100;
308;BECOM-ZET KAPL;OBAT BEBAS;;0;TAB;2.500;
309;BEDAK MARCK 40 GR;OBAT BEBAS;2.7;3;TUBE;19.500;
319;BENOSON 15G;OBAT KERAS;5;5;TUBE;45.000;
320;BENOSON CR 5G;OBAT KERAS;5;3;TUBE;22.500;
321;BENOSON G;OBAT KERAS;5;3;TUBE;87.500;
3215;SUNLIGH;OBAT;;0;PCS;16.000;
32154;MASKER HIJAB SENSI;ALKES;;276;PCS;;
323;BENOSON N CR 15G;OBAT KERAS;5;3;TUBE;50.000;
32314;MADU NUSANTARA 100ML;OBAT;;0;BTL;43.000;
323154;MINYAK SEREH 30ML SITRONELA KECIL;OBAT BEBAS;;1;BTL;7.000;
3234;HERBATIA SARI ASI;OBAT BEBAS;;1;BOX;63.360;
324;BENOSON N CR 5 G;OBAT KERAS;5;0;TUBE;25.000;
00324S;HERBATIA SARI RAPET;OBAT BEBAS;;1;BOX;63.360;
326;BENZOLAC 5 GR 2,5%;OBAT KERAS;5;3;TUBE;18.500;
